Country/Region,Confirmed,Deaths,Recovered,Active,New confirmed,New deaths,New recovered,Recovery rate(per 100),Mortality rate(per 100),WHO region
United Kingdom,5828316,129809,20638,5677869,30871,91,914,0.35,2.23,EURO
Uruguay,381187,5953,373007,2227,211,3,286,97.85,1.56,PAHO
Uzbekistan,127506,859,121718,4929,879,6,573,95.46,0.67,EURO
Vanuatu,4,1,3,0,0,0,0,75.0,25.0,WPRO
Venezuela,303797,3558,287720,12519,809,16,925,94.71,1.17,PAHO
Vietnam,133405,1022,31780,100603,9765,392,4323,23.82,0.77,WPRO
West Bank and Gaza,316487,3601,311714,1172,159,0,92,98.49,1.14,EMRO
Yemen,7042,1374,4171,1497,15,0,3,59.23,19.51,EMRO
Zambia,194140,3355,185210,5575,708,17,1253,95.4,1.73,AFRO
Zimbabwe,105656,3421,73394,28841,2089,81,2011,69.47,3.24,AFRO
